IPV4_SRC_ADDR,IPV4_DST_ADDR,L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,FLOW_DURATION_MILLISECONDS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,PREDICAO_CLASSE,GRAU_CONFIANCA,ROTA_SAIDA_EXIT
192.168.0.111,172.217.30.99,58190,443,17,188.0,258,252,3,3,159,0,0,0,107,131,64,64,143,52,52,143,"194,64","200,52",0,0,0,0,12900,12600,4,2,0,0,0,0,0,0,0,0,0,0,0,1781376309913,1781376310072,53,53,53,0,53,77,65,12,1,0.53082675,-1
192.168.0.111,199.232.13.91,33606,443,6,91.0,247,232,4,4,23,29,29,25,23,7,64,64,91,40,40,91,247,232,40,1,0,0,82333,77333,8,0,0,0,0,63,282,10240,40,0,0,0,0,1781376311626,1781376311650,0,23,7,10,0,6,2,2,0,0.8040759,-1
192.168.0.111,216.239.36.223,49380,443,6,91.0,52,52,1,1,30,16,16,16,0,0,0,0,52,52,52,52,52,52,0,0,0,0,13419,13419,2,0,0,0,0,67,11264,0,0,0,0,0,0,1781376312376,1781376312406,0,0,0,0,0,0,0,0,0,0.97995204,2
0.0.0.0,0.0.0.0,0,0,58,102.0,600,0,3,0,6041,0,0,0,6041,0,255,255,200,200,0,200,"200,,,200,,,200",",,,,,,,",0,0,0,0,794,0,0,3,0,0,0,0,0,34304,134,0,0,0,0,1781376307927,1781376313969,2969,3072,3020,51,0,0,0,0,1,0.54947793,-1
0.0.0.0,0.0.0.0,0,0,58,102.0,936,0,6,0,6141,0,0,0,6141,0,1,1,156,156,0,156,"156,156,,156,156,,156,156",",,,,,,,,",0,0,0,0,1219,0,0,6,0,0,0,0,0,36608,143,0,0,0,0,1781376307930,1781376314071,98,2694,1227,1152,0,0,0,0,0,0.9452371,2
192.168.0.111,181.213.132.2,1878,53,17,5.0,60,85,1,1,21,0,0,0,0,0,0,0,85,60,60,85,"60,",",,85",0,0,0,0,21818,30909,2,0,0,0,0,0,0,0,0,0,65,0,0,1781376314995,1781376315016,0,0,0,0,0,0,0,0,1,0.89212847,2
192.168.0.111,181.213.132.2,57522,53,17,5.0,60,188,1,1,21,0,0,0,0,0,0,0,188,60,60,188,"60,",",,188",0,0,0,0,21818,68363,1,1,0,0,0,0,0,0,0,0,1,300,0,1781376314995,1781376315016,0,0,0,0,0,0,0,0,1,0.7817398,-1
192.168.0.111,181.213.132.2,12846,53,17,5.0,71,157,1,1,19,0,0,0,0,0,0,0,157,71,71,157,71,157,0,0,0,0,28400,62800,1,1,0,0,0,0,0,0,0,0,65,0,0,1781376315060,1781376315080,0,0,0,0,0,0,0,0,1,0.9376408,2
192.168.0.111,181.213.132.2,1876,53,17,5.0,71,116,1,1,19,0,0,0,0,0,0,0,116,71,71,116,71,116,0,0,0,0,28400,46400,2,0,0,0,0,0,0,0,0,0,1,100,0,1781376315060,1781376315080,0,0,0,0,0,0,0,0,1,0.7495824,-1
192.168.0.111,181.213.132.2,38842,53,17,5.0,60,125,1,1,41,0,0,0,0,0,0,0,125,60,60,125,60,125,0,0,0,0,11428,23809,2,0,0,0,0,0,0,0,0,0,65,0,0,1781376315078,1781376315119,0,0,0,0,0,0,0,0,1,0.89730746,2
192.168.0.111,181.213.132.2,17223,53,17,5.0,60,76,1,1,43,0,0,0,0,0,0,0,76,60,60,76,60,76,0,0,0,0,10909,13818,2,0,0,0,0,0,0,0,0,0,1,60,0,1781376315078,1781376315121,0,0,0,0,0,0,0,0,1,0.62675494,-1
192.168.0.111,181.213.132.2,52319,53,17,5.0,66,164,1,1,44,0,0,0,0,0,0,0,164,66,66,164,66,164,0,0,0,0,11733,29155,1,1,0,0,0,0,0,0,0,0,65,0,0,1781376315083,1781376315128,0,0,0,0,0,0,0,0,1,0.9425814,2
192.168.0.111,181.213.132.2,8799,53,17,5.0,66,115,1,1,44,0,0,0,0,0,0,0,115,66,66,115,66,115,0,0,0,0,11733,20444,2,0,0,0,0,0,0,0,0,0,1,60,0,1781376315083,1781376315128,0,0,0,0,0,0,0,0,1,0.7223144,-1
192.168.0.111,4.228.31.149,50916,443,6,91.203,3704,4854,12,10,284,26,26,26,266,254,64,64,2900,52,52,2900,3704,4854,0,0,0,0,103971,136252,12,4,2,0,3,64240,65535,0,0,0,0,0,0,1781376315121,1781376315406,0,167,24,47,0,99,28,32,1,0.9393922,2
192.168.0.111,142.251.156.119,42098,443,6,91.126,3342,4055,12,15,279,26,26,26,249,240,64,64,1544,52,52,1544,3342,4055,0,0,0,0,95485,115857,20,1,1,2,2,64240,65535,0,0,0,0,0,0,1781376315210,1781376315489,0,94,22,34,0,64,16,22,0,0.88338286,2
192.168.0.111,142.251.156.119,42084,443,6,91.126,3487,4174,12,15,306,26,26,26,283,262,64,64,1544,52,52,1544,3487,4174,0,0,0,0,90866,108768,19,2,1,2,2,64240,65535,0,0,0,0,0,0,1781376315182,1781376315489,0,104,25,38,0,74,18,23,0,0.83518064,-1
192.168.0.111,181.213.132.2,24888,53,17,5.0,74,124,1,1,17,0,0,0,0,0,0,0,124,74,74,124,74,124,0,0,0,0,32888,55111,2,0,0,0,0,0,0,0,0,0,65,0,0,1781376315484,1781376315502,0,0,0,0,0,0,0,0,1,0.854684,2
192.168.0.111,181.213.132.2,28585,53,17,5.0,74,90,1,1,23,0,0,0,0,0,0,0,90,74,74,90,74,90,0,0,0,0,24666,30000,2,0,0,0,0,0,0,0,0,0,1,300,0,1781376315484,1781376315508,0,0,0,0,0,0,0,0,1,0.7213138,-1
192.168.0.111,142.251.133.202,46653,443,17,188.126,2661,0,3,0,0,0,0,0,0,0,64,64,1278,105,0,1278,2661,",",0,0,0,0,21288000,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1781376315768,1781376315768,0,0,0,0,0,0,0,0,1,0.8986765,1
192.168.0.111,142.251.156.119,42082,443,6,91.126,9281,47039,33,38,745,26,26,26,706,710,64,64,2852,52,52,2852,9281,47039,0,0,0,0,99528,504439,40,3,3,3,8,64240,65535,0,0,0,0,0,0,1781376315030,1781376315775,0,221,21,46,0,225,18,40,1,0.9469228,2
192.168.0.111,142.251.133.202,52602,443,17,188.126,7545,9810,13,14,275,0,0,0,275,237,64,64,1278,49,49,1278,7545,9810,0,0,0,0,218695,284347,9,2,4,1,11,0,0,0,0,0,0,0,0,1781376315508,1781376315784,0,120,22,36,0,166,18,44,0,0.7434878,-1
192.168.0.111,140.82.112.21,55900,443,6,91.203,13186,7568,20,17,660,26,26,26,511,504,64,64,2900,52,52,2900,13186,7568,0,0,0,0,159588,91594,20,4,1,1,9,64240,65535,0,0,0,0,0,0,1781376315128,1781376315789,0,158,26,54,0,157,31,58,0,0.8231889,-1
192.168.0.111,172.217.28.65,36176,443,17,188.126,19400,1943100,203,1538,711,0,0,0,709,661,64,64,1278,53,53,1278,19400,1943100,0,0,0,0,217977,21832584,201,2,5,27,1506,0,0,0,0,0,0,0,0,1781376315081,1781376315792,0,169,3,13,0,215,0,5,0,0.97039187,1
142.251.133.202,192.168.0.111,443,52602,17,188.0,257,63,3,1,18,0,0,0,18,0,55,55,149,53,53,149,257,63,0,0,0,0,108210,26526,3,1,0,0,0,0,0,0,0,0,0,0,0,1781376315802,1781376315820,18,18,9,9,0,0,0,0,0,0.6568357,-1
172.217.28.65,192.168.0.111,443,36176,17,188.0,582347,3004,460,49,78,0,0,0,78,75,55,55,1278,54,54,1278,582347,3004,0,0,0,0,58971848,304202,50,0,0,14,445,0,0,0,0,0,0,0,0,1781376315792,1781376315871,0,24,0,1,0,17,1,3,1,0.86359674,2
192.168.0.111,181.213.132.2,22924,53,17,5.0,76,141,1,1,24,0,0,0,0,0,0,0,141,76,76,141,76,141,0,0,0,0,24320,45120,1,1,0,0,0,0,0,0,0,0,65,0,0,1781376315937,1781376315962,0,0,0,0,0,0,0,0,1,0.93030083,2
192.168.0.111,181.213.132.2,9574,53,17,5.0,76,183,1,1,31,0,0,0,0,0,0,0,183,76,76,183,76,183,0,0,0,0,19000,45750,1,1,0,0,0,0,0,0,0,0,1,60,0,1781376315938,1781376315969,0,0,0,0,0,0,0,0,1,0.7816528,-1
192.168.0.111,216.239.36.223,33538,443,6,91.0,52,52,1,1,39,16,16,16,0,0,0,0,52,52,52,52,52,52,0,0,0,0,10400,10400,2,0,0,0,0,67,1031,0,0,0,0,0,0,1781376315959,1781376315999,0,0,0,0,0,0,0,0,0,0.9796752,2
192.168.0.111,18.67.162.125,36814,443,6,91.0,5307,2465,12,10,135,26,26,26,112,103,64,64,1480,52,52,1480,"60,5247",",,2465",0,0,0,0,312176,145000,14,2,1,1,4,64240,65535,0,0,0,0,0,0,1781376315970,1781376316106,0,36,9,14,0,37,11,14,0,0.8306969,-1
192.168.0.111,181.213.132.2,13425,53,17,5.0,72,129,1,1,17,0,0,0,0,0,0,0,129,72,72,129,72,129,0,0,0,0,32000,57333,1,1,0,0,0,0,0,0,0,0,65,0,0,1781376316160,1781376316178,0,0,0,0,0,0,0,0,1,0.9242064,2
192.168.0.111,181.213.132.2,17571,53,17,5.0,72,88,1,1,25,0,0,0,0,0,0,0,88,72,72,88,72,88,0,0,0,0,22153,27076,2,0,0,0,0,0,0,0,0,0,1,300,0,1781376316160,1781376316186,0,0,0,0,0,0,0,0,1,0.7086427,-1
142.251.133.202,192.168.0.111,443,46653,17,188.0,9342,6774,17,12,397,0,0,0,397,320,55,55,1278,52,52,1278,"2624,6718","2556,4218",0,0,0,0,187778,136160,12,3,2,2,10,0,0,0,0,0,0,0,0,1781376315816,1781376316213,0,172,24,44,0,163,28,47,1,0.93978393,2
192.168.0.111,185.199.109.133,34044,443,6,91.0,52,52,1,1,15,16,16,16,0,0,0,0,52,52,52,52,52,52,0,0,0,0,26000,26000,2,0,0,0,0,69,279,0,0,0,0,0,0,1781376316471,1781376316487,0,0,0,0,0,0,0,0,0,0.9797737,2
192.168.0.111,181.213.132.2,23439,53,17,5.0,61,111,1,1,21,0,0,0,0,0,0,0,111,61,61,111,61,111,0,0,0,0,22181,40363,2,0,0,0,0,0,0,0,0,0,65,0,0,1781376316473,1781376316495,0,0,0,0,0,0,0,0,1,0.8879638,2
192.168.0.111,181.213.132.2,27209,53,17,5.0,61,77,1,1,21,0,0,0,0,0,0,0,77,61,61,77,61,77,0,0,0,0,22181,28000,2,0,0,0,0,0,0,0,0,0,1,120,0,1781376316473,1781376316495,0,0,0,0,0,0,0,0,1,0.6745188,-1
192.168.0.111,172.217.162.174,55481,443,17,188.126,7764,13401,16,20,358,0,0,0,299,322,64,64,1278,51,51,1278,7764,13401,0,0,0,0,173013,298629,13,4,3,3,13,0,0,0,0,0,0,0,0,1781376316187,1781376316546,0,116,19,33,0,176,16,41,0,0.5405335,-1
192.168.0.111,142.250.79.206,53054,443,17,188.228,7568,9329,14,16,261,0,0,0,261,234,64,64,1278,49,49,1278,7568,9329,0,0,0,0,231083,284854,11,3,4,2,10,0,0,0,0,0,0,0,0,1781376316496,1781376316758,0,74,19,27,0,142,15,36,0,0.91246426,2
192.168.0.111,140.82.114.22,53610,443,6,91.0,52,52,1,1,160,16,16,16,0,0,0,0,52,52,52,52,52,52,0,0,0,0,2583,2583,2,0,0,0,0,68,84,0,0,0,0,0,0,1781376316599,1781376316760,0,0,0,0,0,0,0,0,0,0.9743639,2
0.0.0.0,0.0.0.0,0,0,58,102.0,200,0,1,0,0,0,0,0,0,0,0,0,200,200,0,200,200,",",0,0,0,0,1600000,0,0,1,0,0,0,0,0,34304,134,0,0,0,0,1781376316939,1781376316939,0,0,0,0,0,0,0,0,0,0.85565335,1
192.168.0.111,181.213.132.2,4126,53,17,5.0,64,142,1,1,21,0,0,0,0,0,0,0,142,64,64,142,64,142,0,0,0,0,23272,51636,1,1,0,0,0,0,0,0,0,0,65,0,0,1781376316919,1781376316941,0,0,0,0,0,0,0,0,1,0.94192564,2
192.168.0.111,181.213.132.2,64515,53,17,5.0,64,192,1,1,21,0,0,0,0,0,0,0,192,64,64,192,64,192,0,0,0,0,23272,69818,1,1,0,0,0,0,0,0,0,0,1,60,0,1781376316919,1781376316941,0,0,0,0,0,0,0,0,1,0.7809364,-1
192.168.0.111,107.182.232.230,43824,443,6,91.0,3112,1568,8,5,622,26,26,26,622,391,64,64,1500,52,52,1500,"3060,52","1568,",0,0,0,0,39961,20134,8,0,1,3,1,64240,65160,0,0,0,0,0,0,1781376316401,1781376317024,0,240,88,103,0,191,97,91,1,0.9798868,2
192.168.0.111,107.182.232.230,43810,443,6,91.0,3113,1817,8,5,631,26,26,26,631,394,64,64,1500,52,52,1500,"3061,52","1817,",0,0,0,0,39405,23000,8,0,1,2,2,64240,65160,0,0,0,0,0,0,1781376316397,1781376317029,0,237,90,104,0,196,98,93,1,0.9803515,2
192.168.0.111,181.213.132.2,19553,53,17,5.0,81,138,1,1,28,0,0,0,0,0,0,0,138,81,81,138,81,138,0,0,0,0,22344,38068,1,1,0,0,0,0,0,0,0,0,65,0,0,1781376317071,1781376317099,0,0,0,0,0,0,0,0,1,0.9293833,2
192.168.0.111,181.213.132.2,3171,53,17,5.0,81,145,1,1,28,0,0,0,0,0,0,0,145,81,81,145,81,145,0,0,0,0,22344,40000,1,1,0,0,0,0,0,0,0,0,1,300,0,1781376317071,1781376317099,0,0,0,0,0,0,0,0,1,0.7778455,-1
192.168.0.111,142.250.79.206,49740,443,17,188.228,9771,8927,15,17,432,0,0,0,375,399,64,64,1278,52,52,1278,"9586,185","7789,1138",0,0,0,0,180526,164933,12,4,2,2,12,0,0,0,0,0,0,0,0,1781376316724,1781376317157,0,103,26,36,0,190,24,47,1,0.9665451,2
0.0.0.0,0.0.0.0,0,0,58,102.0,312,0,2,0,474,0,0,0,474,0,1,1,156,156,0,156,"156,156",",,",0,0,0,0,5254,0,0,2,0,0,0,0,0,36608,143,0,0,0,0,1781376316941,1781376317415,474,474,474,0,0,0,0,0,0,0.8848644,1
192.168.0.111,181.213.132.2,35874,53,17,5.0,65,139,1,1,24,0,0,0,0,0,0,0,139,65,65,139,65,139,0,0,0,0,20800,44480,1,1,0,0,0,0,0,0,0,0,65,0,0,1781376317457,1781376317481,0,0,0,0,0,0,0,0,1,0.94240385,2
192.168.0.111,181.213.132.2,17722,53,17,5.0,65,105,1,1,30,0,0,0,0,0,0,0,105,65,65,105,65,105,0,0,0,0,16774,27096,2,0,0,0,0,0,0,0,0,0,1,21,0,1781376317457,1781376317488,0,0,0,0,0,0,0,0,1,0.7276361,-1
192.168.0.111,181.213.132.2,62825,53,17,5.0,70,95,1,1,21,0,0,0,0,0,0,0,95,70,70,95,70,95,0,0,0,0,25454,34545,2,0,0,0,0,0,0,0,0,0,65,0,0,1781376317564,1781376317586,0,0,0,0,0,0,0,0,1,0.88097435,2
192.168.0.111,181.213.132.2,43347,53,17,5.0,70,86,1,1,21,0,0,0,0,0,0,0,86,70,70,86,70,86,0,0,0,0,25454,31272,2,0,0,0,0,0,0,0,0,0,1,300,0,1781376317564,1781376317586,0,0,0,0,0,0,0,0,1,0.71332765,-1
192.168.0.111,181.213.132.2,3328,53,17,5.0,70,127,1,1,13,0,0,0,0,0,0,0,127,70,70,127,70,127,0,0,0,0,40000,72571,2,0,0,0,0,0,0,0,0,0,65,0,0,1781376317597,1781376317610,0,0,0,0,0,0,0,0,1,0.83253455,-1
192.168.0.111,181.213.132.2,55089,53,17,5.0,70,86,1,1,20,0,0,0,0,0,0,0,86,70,70,86,70,86,0,0,0,0,26666,32761,2,0,0,0,0,0,0,0,0,0,1,113,0,1781376317597,1781376317617,0,0,0,0,0,0,0,0,1,0.7162752,-1
192.168.0.111,181.213.132.2,55628,53,17,5.0,61,118,1,1,18,0,0,0,0,0,0,0,118,61,61,118,61,118,0,0,0,0,25684,49684,2,0,0,0,0,0,0,0,0,0,65,0,0,1781376317601,1781376317619,0,0,0,0,0,0,0,0,1,0.8799844,2
192.168.0.111,181.213.132.2,17064,53,17,5.0,61,77,1,1,18,0,0,0,0,0,0,0,77,61,61,77,61,77,0,0,0,0,25684,32421,2,0,0,0,0,0,0,0,0,0,1,109,0,1781376317601,1781376317619,0,0,0,0,0,0,0,0,1,0.68619156,-1
192.168.0.111,181.213.132.2,7864,53,17,5.0,74,124,1,1,13,0,0,0,0,0,0,0,124,74,74,124,74,124,0,0,0,0,42285,70857,2,0,0,0,0,0,0,0,0,0,65,0,0,1781376317707,1781376317721,0,0,0,0,0,0,0,0,1,0.8205534,-1
192.168.0.111,181.213.132.2,53042,53,17,5.0,74,90,1,1,17,0,0,0,0,0,0,0,90,74,74,90,74,90,0,0,0,0,32888,40000,2,0,0,0,0,0,0,0,0,0,1,300,0,1781376317707,1781376317725,0,0,0,0,0,0,0,0,1,0.7299631,-1
192.168.0.111,52.7.130.227,52984,443,6,91.0,6075,6437,12,11,828,26,26,26,828,625,64,64,2948,52,52,2948,"60,6015",",,6437",0,0,0,0,58624,62118,13,1,0,4,3,64240,26847,0,0,0,0,0,0,1781376316941,1781376317769,0,296,74,101,0,196,62,79,1,0.9957176,2
192.168.0.111,172.217.30.136,47047,443,17,188.239,7973,8776,16,18,227,0,0,0,227,195,64,64,1278,49,49,1278,7973,8776,0,0,0,0,279754,307929,16,4,2,2,10,0,0,0,0,0,0,0,0,1781376317618,1781376317845,0,116,15,30,0,157,11,36,0,0.93592817,2
192.168.0.111,172.217.29.227,43215,443,17,188.126,6464,9772,11,15,228,0,0,0,228,192,64,64,1278,51,51,1278,6464,9772,0,0,0,0,225816,341379,9,3,2,2,10,0,0,0,0,0,0,0,0,1781376317621,1781376317849,0,104,22,34,0,105,13,29,0,0.9394287,2
192.168.0.111,142.250.79.194,38059,443,17,188.126,7996,8748,13,14,262,0,0,0,262,227,64,64,1278,49,49,1278,7996,8748,0,0,0,0,243224,266098,10,2,3,2,10,0,0,0,0,0,0,0,0,1781376317587,1781376317850,0,106,21,32,0,141,17,38,1,0.70489436,-1
192.168.0.111,181.213.132.2,5795,53,17,5.0,80,137,1,1,17,0,0,0,0,0,0,0,137,80,80,137,80,137,0,0,0,0,35555,60888,1,1,0,0,0,0,0,0,0,0,65,0,0,1781376317865,1781376317882,0,0,0,0,0,0,0,0,1,0.9046781,2
192.168.0.111,181.213.132.2,13464,53,17,5.0,80,144,1,1,23,0,0,0,0,0,0,0,144,80,80,144,80,144,0,0,0,0,26666,48000,1,1,0,0,0,0,0,0,0,0,1,300,0,1781376317865,1781376317888,0,0,0,0,0,0,0,0,1,0.781091,-1
192.168.0.111,142.251.133.202,42521,443,17,188.126,7467,8723,13,14,252,0,0,0,252,224,64,64,1278,49,49,1278,7467,8723,0,0,0,0,236110,275826,10,2,4,1,10,0,0,0,0,0,0,0,0,1781376317725,1781376317978,0,73,20,26,0,145,17,39,1,0.5875939,-1
192.168.0.111,142.251.133.202,50868,443,17,188.126,10394,9637,16,19,422,0,0,0,371,391,64,64,1278,52,52,1278,"2663,7731","1346,8291",0,0,0,0,196576,182260,14,4,2,3,12,0,0,0,0,0,0,0,0,1781376317953,1781376318376,0,91,24,32,0,183,21,43,1,0.8547637,2
192.168.0.111,216.239.34.223,43095,443,17,188.239,6458,6729,12,14,535,0,0,0,483,498,64,64,1278,52,52,1278,"5219,1239","2624,4105",0,0,0,0,96388,100432,12,2,2,3,7,0,0,0,0,0,0,0,0,1781376317889,1781376318424,0,226,43,66,0,251,38,69,1,0.9963833,2
192.168.0.111,216.239.36.223,46310,443,6,91.0,52,52,1,1,28,16,16,16,0,0,0,0,52,52,52,52,52,52,0,0,0,0,14344,14344,2,0,0,0,0,67,11010,0,0,0,0,0,0,1781376318519,1781376318548,0,0,0,0,0,0,0,0,0,0.97999483,2
192.168.0.111,172.217.29.206,44771,443,17,188.126,12656,9914,21,23,1152,0,0,0,1127,1121,64,64,1278,52,52,1278,"10518,2138","9032,882",0,0,0,0,87812,68787,20,3,5,3,13,0,0,0,0,0,0,0,0,1781376317488,1781376318641,0,512,56,113,0,506,50,110,1,0.97479105,2
192.168.0.111,172.217.172.170,60931,443,17,188.0,57,53,1,1,32,0,0,0,0,0,0,0,57,53,53,57,57,53,0,0,0,0,13818,12848,2,0,0,0,0,0,0,0,0,0,0,0,0,1781376318739,1781376318771,0,0,0,0,0,0,0,0,1,0.5336289,-1
192.168.0.111,181.213.132.2,1870,53,17,5.0,61,110,1,1,17,0,0,0,0,0,0,0,110,61,61,110,61,110,0,0,0,0,27111,48888,2,0,0,0,0,0,0,0,0,0,65,0,0,1781376318807,1781376318824,0,0,0,0,0,0,0,0,1,0.87871695,2
192.168.0.111,181.213.132.2,11338,53,17,5.0,61,351,1,1,25,0,0,0,0,0,0,0,351,61,61,351,61,351,0,0,0,0,18769,108000,1,0,1,0,0,0,0,0,0,0,1,274,0,1781376318807,1781376318833,0,0,0,0,0,0,0,0,1,0.84129953,-1
192.168.0.111,181.213.132.2,16219,53,17,5.0,61,110,1,1,20,0,0,0,0,0,0,0,110,61,61,110,61,110,0,0,0,0,23238,41904,2,0,0,0,0,0,0,0,0,0,65,0,0,1781376318820,1781376318841,0,0,0,0,0,0,0,0,1,0.8862983,2
192.168.0.111,181.213.132.2,37843,53,17,5.0,61,351,1,1,27,0,0,0,0,0,0,0,351,61,61,351,61,351,0,0,0,0,17428,100285,1,0,1,0,0,0,0,0,0,0,1,274,0,1781376318820,1781376318848,0,0,0,0,0,0,0,0,1,0.841494,-1
192.168.0.111,181.213.132.2,26627,53,17,5.0,61,111,1,1,18,0,0,0,0,0,0,0,111,61,61,111,61,111,0,0,0,0,25684,46736,2,0,0,0,0,0,0,0,0,0,65,0,0,1781376318863,1781376318881,0,0,0,0,0,0,0,0,1,0.8817565,2
192.168.0.111,181.213.132.2,21364,53,17,5.0,61,77,1,1,23,0,0,0,0,0,0,0,77,61,61,77,61,77,0,0,0,0,20333,25666,2,0,0,0,0,0,0,0,0,0,1,120,0,1781376318863,1781376318887,0,0,0,0,0,0,0,0,1,0.66772974,-1
192.168.0.111,142.250.79.206,59478,443,17,188.228,6500,2624,6,3,175,0,0,0,175,54,64,64,1278,68,68,1278,"5222,1278","2624,",0,0,0,0,295454,119272,2,0,0,0,7,0,0,0,0,0,0,0,0,1781376318887,1781376319063,17,90,34,36,5,48,26,21,1,0.80020297,-1
